Uni id,Uni Name,Image logo,Image hero,,,
C3,Libera Università di Bolzano,X,,,,
59,Università degli Studi Suor Orsola Benincasa - Napoli,X,,,,
A6,Link Campus University,X,,,,
D9,"Università Telematica ""e-campus""",X,,,,
23,Università degli Studi di Perugia,X,,,,
19,Università degli Studi di Padova,x,,,,
C6,Università degli Studi di Milano-bicocca,x,,,,
6,Università degli Studi di Camerino,x,,,,
21,Università degli Studi di Parma,X,,,,
34,Università degli Studi di Udine,x,,,,
22,Università degli Studi di Pavia,x,,,,
63,Università degli Studi di Urbino Carlo Bo,x,,,,
16,Politecnico di Milano,X,,,,
31,Università degli Studi di Torino,x,,,,
30,Università degli Studi di Siena,x,,,,
2,Università degli Studi di Bari Aldo Moro,x,,,,
62,Università degli Studi di Trento,x,,,,
53,"Università degli Studi ""g. D'annunzio"" Chieti-pescara",x,,,,
40,Università degli Studi di Verona,x,,,,
E0,Unicusano Università degli Studi Niccolò Cusano -telematica Roma,X,,,,
27,"Università degli Studi di Roma ""tor Vergata""",,,,,
28,Università degli Studi di Salerno,,,,,
24,Università di Pisa,,,,,
57,Università Cattolica del Sacro Cuore,,,,,
4,Università degli Studi di Cagliari,,,,,
11,Università degli Studi di Genova,,,,,
H2,Unicamillus - Saint Camillus International University Of Health Sciences,,,,,
D8,"Università Telematica ""leonardo da Vinci""",,,,,
3,Università degli Studi di Bologna,,,,,
10,Università degli Studi di Firenze,,,,,
17,Università degli Studi di Modena e Reggio Emilia,,,,,
55,Università degli Studi Dell'aquila,,,,,
C4,Università degli Studi del Sannio di Benevento,,,,,
14,Università degli Studi di Messina,,,,,
15,Università degli Studi di Milano,,,,,
49,"Università degli Studi della Campania ""luigi Vanvitelli""",,,,,
38,Università degli Studi della Basilicata,,,,,
5,Università della Calabria,,,,,
29,Università degli Studi di Sassari,,,,,
46,Università degli Studi di Brescia,,,,,
39,Università degli Studi del Molise,,,,,
7,Università degli Studi di Cassino e del Lazio Meridionale,,,,,
9,Università degli Studi di Ferrara,,,,,
C8,Università degli Studi del Piemonte Orientale,,,,,
1,Università Politecnica Delle Marche,,,,,
26,"Università degli Studi di Roma ""la Sapienza""",,,,,
51,Università degli Studi di Bergamo,,,,,
20,Università degli Studi di Palermo,,,,,
C5,"Università degli Studi ""magna Graecia"" di Catanzaro",,,,,
H1,Humanitas University,,,,,
D2,Università della Valle D'aosta,,,,,
12,Università del Salento,,,,,
8,Università degli Studi di Catania,,,,,
33,Università degli Studi di Trieste,,,,,
A7,Università degli Studi Roma Tre,,,,,
35,Università degli Studi della Tuscia,,,,,
C7,Università degli Studi Insubria Varese-como,,,,,
C9,Università degli Studi di Foggia,,,,,
41,"Università degli Studi di Napoli ""parthenope""",,,,,
D7,Università degli Studi Europea di Roma,,,,,
A9,Unisr - Università Vita Salute San Raffaele,,,,,
18,Università degli Studi di Napoli Federico Ii,,,,,
37,Università Iuav di Venezia,,,,,
36,"Università ""ca' Foscari"" Venezia",,,,,
E8,"Università Telematica ""universitas Mercatorum""",,,,,
E9,"Università per Stranieri ""dante Alighieri"" di Reggio Calabria",,,,,
97,Università per Stranieri di Siena,,,,,
A0,"Università ""campus Bio-medico"" di Roma",,,,,
32,Politecnico di Torino,,,,,
D0,Università Telematica Internazionale Uninettuno,,,,,
48,Politecnico di Bari,,,,,
13,Università degli Studi di Macerata,,,,,
60,"Libera Università degli Studi ""maria Ss.assunta"" - Lumsa",,,,,
56,"Università Commerciale ""luigi Bocconi"" Milano",,,,,
61,Luiss Libera Università Internazionale degli Studi Sociali Guido Carli,,,,,
E4,Università Telematica San Raffaele Roma,,,,,
47,"Università degli Studi ""mediterranea"" di Reggio Calabria",,,,,
42,"Università degli Studi di Napoli ""l'orientale""",,,,,
E2,"Università Telematica ""giustino Fortunato""",,,,,
A8,Università degli Studi di Teramo,,,,,
C0,"Università degli Studi di Roma ""foro Italico""",,,,,
B0,Università degli Studi Internazionali di Roma (unint),,,,,
D6,Uke - Università Kore di Enna,,,,,
E7,Università Telematica degli Studi Iul,,,,,
58,Libera Università di Lingue e Comunicazione Iulm-mi,,,,,
D1,"Lum ""giuseppe Degennaro""",,,,,
D3,"Università degli Studi ""guglielmo Marconi"" - Telematica",,,,,
99,Università per Stranieri di Perugia,,,,,
D5,Università degli Studi di Scienze Gastronomiche,,,,,
E1,Università Telematica Pegaso,,,,,
D4,Università degli Studi di Roma Unitelmasapienza,,,,,
50,"Università ""carlo Cattaneo"" - Liuc",,,,,
